id,name,which_shop,enter_price,out_price,currency,count_type,date_added,exchange_rate,in_stock,count,description,category,video
23,Surney oq,1,0.37,1.0,USD,D,2024-06-21,12700.00,True,499,,,
16,1K mers malish oq,1,0.142,1.0,USD,D,2024-06-21,12700.00,True,773,,,
9,1K 45Gaz,1,0.43,1.0,USD,D,2024-06-21,12700.00,True,196,,,
47,Salon 39mm arzoni qora platali 12V,1,0.158,1.0,USD,D,2024-06-21,12700.00,True,121,,,
70,2k 64 gaz sarq gupka,1,0.748,1.0,USD,D,2024-06-21,12700.00,True,60,,,
32,malish kalbosh oq 24v,1,0.24,1.0,USD,D,2024-06-21,12700.00,True,254,,,
39,Sasulka oq,1,0.15,1.0,USD,D,2024-06-21,12700.00,True,479,,,
38,Malish plyo'nka sariq 12V,1,0.119,1.0,USD,D,2024-06-21,12700.00,True,58,,,
72,15 gaz bit ko'z oq 12V,1,0.291,1.0,USD,D,2024-06-21,12700.00,True,342,,,
15,1K mers malish sariq,1,0.142,1.0,USD,D,2024-06-21,12700.00,True,222,,,
63,bez sokl kaplya qiz,1,0.27,1.0,USD,D,2024-06-21,12700.00,True,24,,,
1,1K magam oq,1,0.944,1.0,USD,D,2024-06-21,12700.00,True,262,,,
29,T15 N2 N3 Qora lupali,1,0.78,1.0,USD,D,2024-06-21,12700.00,True,148,,,
10,T20 mers 1K,1,0.35,1.0,USD,D,2024-06-21,12700.00,True,146,,,
26,T20 BJ 1K  oq,1,0.95,1.0,USD,D,2024-06-21,12700.00,True,145,,,
67,1k 64 gaz gupka qizil,1,0.748,1.0,USD,D,2024-06-21,12700.00,True,83,,,
24,Fleshka12ko'z  tufta,1,0.158,1.0,USD,D,2024-06-21,12700.00,True,443,,,
20,2K 33Gaz oq,1,0.32,1.0,USD,D,2024-06-21,12700.00,True,133,,,
62,bez sokl kaplya ko'k,1,0.27,1.0,USD,D,2024-06-21,12700.00,True,51,,,
30,malish kalbosh malibu 24v,1,0.24,1.0,USD,D,2024-06-21,12700.00,True,200,,,
141,T15 Ko'k platali N2 N3 zadniy,1,0.433,1.0,USD,D,2024-06-22,12700.00,True,1,,,
122,T20 kullerli sariq 1k,1,5.8,1.0,USD,D,2024-06-22,12700.00,True,2,,,
120,1k Mayda kozli Svetafor,1,2.55,1000.0,USD,D,2024-06-21,12700.00,True,4,,,
6,1K 54gaz,1,0.36,1.0,USD,D,2024-06-21,12700.00,True,402,,,
45,BJ salon 31mm oq,1,0.213,1.0,USD,D,2024-06-21,12700.00,True,233,,,
119,2k svetafor oq +sariq,1,2.55,1000.0,USD,D,2024-06-21,12700.00,True,0,,,
25,T20 BJ  2K  oq,1,0.95,1.0,USD,D,2024-06-21,12700.00,True,400,,,
37,Malish plyonka qizil 12V,1,0.119,1.0,USD,D,2024-06-21,12700.00,True,71,,,
17,1K 80w oq,1,0.79,1.0,USD,D,2024-06-21,12700.00,True,147,,,
59,Bez sokl magam mal,1,0.12,1.0,USD,D,2024-06-21,12700.00,True,161,,,
57,semechka 3koz mal 12V,1,0.095,1.0,USD,D,2024-06-21,12700.00,True,452,,,
848,AKULA ANTENA JEMCHUK,1,4.75,5.0,USD,D,2024-06-30,12700.00,True,8,,,
65,1k mers kotta oq,1,0.9,1.0,USD,D,2024-06-21,12700.00,True,14,,,
31,rezina g'isht,1,0.12,1.0,USD,D,2024-06-21,12700.00,True,115,,,
33,2K BJ 33Gaz oq,1,0.95,1.0,USD,D,2024-06-21,12700.00,True,247,,,
58,Semechka 2 koz mal 12V,1,0.095,1.0,USD,D,2024-06-21,12700.00,True,1085,,,
64,T15 N2 N3 45gaz oq 12V,1,0.314,1.0,USD,D,2024-06-21,12700.00,True,603,,,
11,2K sariq dnevnoy,1,0.4,1.0,USD,D,2024-06-21,12700.00,True,81,,,
68,1k bomba qiz,1,0.75,1.0,USD,D,2024-06-21,12780.00,True,0,,,
48,Salon 41mm arzoni qora platali 12V,1,0.18,1.0,USD,D,2024-06-21,12700.00,True,487,,,
13,T20 45Gaz  oq 1K,1,0.434,1.0,USD,D,2024-06-21,12700.00,True,122,,,
7,1K bomba Mega,1,0.99,1.0,USD,D,2024-06-21,12700.00,True,189,,,
8,2K oq + sariq,1,0.98,1.0,USD,D,2024-06-21,12700.00,True,95,,,
18,2K 33Gaz sariq,1,0.32,1.0,USD,D,2024-06-21,12700.00,True,148,,,
21,1K dnevnoy oq,1,0.4,1.0,USD,D,2024-06-21,12700.00,True,65,,,
2,2K magam oq,1,0.94,1.0,USD,D,2024-06-21,12700.00,True,143,,,
5,1K magam qizil,1,0.94,1.0,USD,D,2024-06-21,12700.00,True,145,,,
50,Salon 31 mm oq plata  oq 12V,1,0.142,1.0,USD,D,2024-06-21,12700.00,True,19,,,
926,GALOGEN Osram 100/90,1,1.55,1.65,USD,D,2024-07-12,12700.00,True,241,,,
69,2k migalka qiz,1,0.28,1.0,USD,D,2024-06-21,12700.00,True,19,,,
49,Semechka gold oq,1,0.118,1.0,USD,D,2024-06-21,12700.00,True,3015,,,
73,Bez  so'kl  magam oq   12V,1,0.122,1.0,USD,D,2024-06-21,12700.00,True,208,,,
66,Malish PULIYA,1,1.275,1.0,USD,D,2024-06-21,12700.00,True,63,,,
43,BJ salon 39mm oq 12V,1,0.213,1.0,USD,D,2024-06-21,12700.00,True,200,,,
34,1K BJ oq,1,0.9,1.0,USD,D,2024-06-21,12700.00,True,207,,,
44,BJ salon 36mm oq 12V,1,0.213,1.0,USD,D,2024-06-21,12700.00,True,36,,,
52,Semechka qizil arz 12V,1,0.029,1.0,USD,D,2024-06-21,12700.00,True,1996,,,
19,1K 33Gaz oq,1,0.32,1.0,USD,D,2024-06-21,12700.00,True,209,,,
3,2K magam sariq,1,0.94,1.0,USD,D,2024-06-21,12700.00,True,102,,,
35,T15 Xrustal Nexia 2 - Nexia 3 zad oq,1,0.354,1.0,USD,D,2024-06-21,12700.00,True,0,,,
117,kullerli 1k sariq svetafo'r,1,5.8,1000.0,USD,D,2024-06-21,12700.00,True,8,,,
116,Salon radiatorli  41mm oq 12V,1,0.24,1.0,USD,D,2024-06-21,12700.00,True,81,,,
114,Salon radiatorli 36mm oq 12V,1,0.24,1.0,USD,D,2024-06-21,12700.00,True,8,,,
130,1k xrustal 24V,1,0.28,1.0,USD,D,2024-06-22,12700.00,True,100,,,
93,15 gaz bit ko'z sariq 12V,1,0.291,1.0,USD,D,2024-06-21,12700.00,True,20,,,
79,Lacetti tablo' dio'd qizil,1,0.11,1.0,USD,D,2024-06-21,12700.00,True,150,,,
123,T20 kullerli oq 2k,1,5.8,1.0,USD,D,2024-06-22,12700.00,True,2,,,
125,1k svetafor oq,1,2.55,1.0,USD,D,2024-06-22,12700.00,True,2,,,
286,TUM DAYTIME OQ,1,1.74,2.0,USD,D,2024-06-24,12780.00,True,7,,,
134,BJ Salo'n 36mm 24V,1,0.28,1.0,USD,D,2024-06-22,12700.00,True,110,,,
112,Keramika 8 ko'z sariq,1,0.35,1.0,USD,D,2024-06-21,12700.00,True,259,,,
295,TUM DAYTIME MIGALKA,1,2.2,3.0,USD,D,2024-06-24,12780.00,True,1,,,
138,BJ Salo'n 41mm 24V,1,0.28,1.0,USD,D,2024-06-22,12700.00,True,50,,,
88,Rezina malish oq,1,0.12,1.0,USD,D,2024-06-21,12700.00,True,5,,,
118,kullerli2k sariq svetafo'r,1,5.8,1000.0,USD,D,2024-06-21,12700.00,True,10,,,
126,1k svetafor kotta qizil,1,2.55,1.0,USD,D,2024-06-22,12700.00,True,14,,,
127,1k svetafor kotta sariq,1,2.55,1.0,USD,D,2024-06-22,12700.00,True,8,,,
128,1k svetafor kotta sariq,1,2.55,1.0,USD,D,2024-06-22,12700.00,True,8,,,
102,Salo'n plyo'nka 36mm,1,0.103,1.0,USD,D,2024-06-21,12700.00,True,27,,,
104,Bez so'kl kapliya mal,1,0.28,1.0,USD,D,2024-06-21,12700.00,True,10,,,
124,1k sariq svetafor,1,2.55,1.0,USD,D,2024-06-22,12700.00,True,8,,,
129,2k svetafor kotta sariq,1,2.55,1.0,USD,D,2024-06-22,12700.00,True,22,,,
113,Keramika 8 ko'z oq,1,0.35,1.0,USD,D,2024-06-21,12700.00,True,254,,,
121,1k ro'bot svetafo'r,1,2.55,1000.0,USD,D,2024-06-21,12700.00,True,6,,,
145,BJ salon 36mm 24V,1,0.28,1.0,USD,D,2024-06-24,12700.00,True,110,,,
103,Bez so'kl 12V sariq,1,0.28,1.0,USD,D,2024-06-21,12700.00,True,23,,,
100,Archa bez so'kl 12V,1,0.192,1.0,USD,D,2024-06-21,12700.00,True,16,,,
150,Koito 1k kok,1,0.18,1.0,USD,D,2024-06-24,12700.00,True,110,,,
151,Koito 2k kok,1,0.18,1.0,USD,D,2024-06-24,12700.00,True,160,,,
156,PI 8 LED 50W,1,19.5,22.0,USD,D,2024-06-24,12700.00,True,4,,,
148,Koito 1k sariq,1,0.18,1.0,USD,D,2024-06-24,12700.00,True,271,,,
82,Bez so'kl magam qizil 12V,1,0.122,1.0,USD,D,2024-06-21,12700.00,True,7,,,
84,Spiral oq,1,0.189,1.0,USD,D,2024-06-21,12700.00,True,14,,,
96,1k lupa qizil svetafor,1,2.55,1.0,USD,D,2024-06-21,12700.00,True,14,,,
91,27 gaz bez so'kl,1,0.37,1.0,USD,D,2024-06-21,12700.00,True,2,,,
97,T20 2k kullerli sariq,1,5.8,1.0,USD,D,2024-06-21,12700.00,True,11,,,
94,semechka 7ko'z oq 12V,1,0.142,1.0,USD,D,2024-06-21,12700.00,True,144,,,
108,Keramika 6 ko'z sariq 12V,1,0.217,1.0,USD,D,2024-06-21,12700.00,True,249,,,
110,Keramika 6 ko'z mal,1,0.23,1.0,USD,D,2024-06-21,12700.00,True,313,,,
86,Spiral sariq,1,0.189,1.0,USD,D,2024-06-21,12700.00,True,208,,,
133,Pribo'r xrustal 24V oq,1,0.14,0.15,USD,D,2024-06-22,12700.00,True,226,,,
107,3ko'z lupa bez so'kl xrustal,1,0.142,1.0,USD,D,2024-06-21,12700.00,True,0,,,
164,MI2 LED H7,1,3.5,1.0,USD,D,2024-06-24,12700.00,True,0,,,
136,BJ Salo'n 39MM 24V,1,0.28,1.0,USD,D,2024-06-22,12700.00,True,30,,,
109,Keramika 6 ko'z qizil 12V,1,0.217,1.0,USD,D,2024-06-21,12700.00,True,191,,,
76,Lacetti tablo' dio'd oq,1,0.11,1.0,USD,D,2024-06-21,12700.00,True,176,,,
89,1k bomba oq,1,0.75,1.0,USD,D,2024-06-21,12780.00,True,2142,,,
53,Semechka kok arz 12V,1,0.029,1.0,USD,D,2024-06-21,12700.00,True,1874,,,
106,Farfo'r bez so'kl oq,1,0.087,1.0,USD,D,2024-06-21,12700.00,True,9,,,
81,Bez so'kl prazrachniy 12V,1,0.102,1.0,USD,D,2024-06-21,12700.00,True,359,,,
92,12-24V bez so'kl,1,1.031,1.0,USD,D,2024-06-21,12700.00,True,71,,,
137,BJ Salo'n 31MM 24V,1,0.28,1.0,USD,D,2024-06-22,12700.00,True,61,,,
85,Spiral qizil,1,0.189,1.0,USD,D,2024-06-21,12700.00,True,47,,,
95,Kullerli 1k qizil,1,5.8,1.0,USD,D,2024-06-21,12700.00,True,14,,,
115,Salon radiatorli 39mm oq12V,1,0.24,1.0,USD,D,2024-06-21,12700.00,True,85,,,
153,Perekurivatel 800A,1,3.9,11.0,USD,D,2024-06-24,12700.00,True,-21,,,
87,Bez so'kl rezina oq,1,0.12,1.0,USD,D,2024-06-21,12700.00,True,74,,,
78,Lacetti tablo' dio'd ko'k,1,0.11,1.0,USD,D,2024-06-21,12700.00,True,121,,,
80,Bez so'kl magam sarq 12V,1,0.122,1.0,USD,D,2024-06-21,12700.00,True,62,,,
75,Pribo'r xrustal 12V,1,0.114,1.0,USD,D,2024-06-21,12700.00,True,636,,,
111,Keramika 8 ko'z qizil,1,0.354,1.0,USD,D,2024-06-21,12700.00,True,197,,,
101,Fleshka oq arzoni,1,0.12,1.0,USD,D,2024-06-21,12700.00,True,1,,,
201,Magicar 01,1,8.3,11.0,USD,D,2024-06-24,12700.00,True,5,,,
169,REVO 9006,1,11.0,11.0,USD,D,2024-06-24,12700.00,True,5,,,
234,IMULATOR 201,1,2.35,3.0,USD,D,2024-06-24,12700.00,True,113,,,
186,Nomer yozuv,1,0.7,1.0,USD,D,2024-06-24,12700.00,True,8,,,
188,Anti dol kok,1,1.0,1.0,USD,D,2024-06-24,12700.00,True,4,,,
172,LED V3 H11,1,8.5,1.0,USD,D,2024-06-24,12700.00,True,5,,,
213,OSV SMALOY KUKURUZ,1,3.6,4.0,USD,D,2024-06-24,12700.00,True,3,,,
191,Pult gabarit  RGB are,1,2.8,3.0,USD,D,2024-06-24,12700.00,True,31,,,
224,FENIKS 1K ODDIY,1,0.09,0.12,USD,D,2024-06-24,12700.00,True,647,,,
226,LIPUCHKA INGICHKA,1,0.1,0.12,USD,D,2024-06-24,12700.00,True,812,,,
222,FENIKS 1K SARIQ,1,0.12,0.16,USD,D,2024-06-24,12700.00,True,865,,,
216,shteker KNOPKA 01 KVADRAT,1,0.1,0.15,USD,D,2024-06-24,12700.00,True,1478,,,
196,Osram H7 55W cool blue,1,4.1,5.0,USD,D,2024-06-24,12700.00,True,42,,,
227,LIPUCHKA QALIN,1,0.28,0.25,USD,D,2024-06-24,12700.00,True,217,,,
159,LED V5 LED H1,1,15.0,1.0,USD,D,2024-06-24,12700.00,True,5,,,
190,Ekvalayzer pechka F1,1,4.85,5.0,USD,D,2024-06-24,12700.00,True,29,,,
203,Magicar 08,1,8.3,9.0,USD,D,2024-06-24,12700.00,True,0,,,
161,LED F10 H7,1,4.0,1.0,USD,D,2024-06-24,12700.00,True,74,,,
158,LED V5 LED H11,1,15.0,16.0,USD,D,2024-06-24,12700.00,True,1,,,
215,SNAIL HORN 24V,1,2.0,1.0,USD,D,2024-06-24,12700.00,True,5,,,
1106,test 12,1,10.0,15.0,USD,D,2024-10-09,12850.00,True,100,,,
165,MI2 LED H4,1,4.0,4.0,USD,D,2024-06-24,12700.00,True,3,,,
170,LED V3 880,1,8.5,1.0,USD,D,2024-06-24,12700.00,True,1,,,
206,F-4 tulpan,1,8.5,12.0,USD,D,2024-06-24,12700.00,True,7,,,
220,shteker KNOPKA GUPKA,1,0.11,0.15,USD,D,2024-06-24,12700.00,True,17,,,
212,OSV VERTALYOT VAYENNIY,1,3.1,3.5,USD,D,2024-06-24,12700.00,True,28,,,
205,Magicar Mers vito,1,8.3,9.0,USD,D,2024-06-24,12700.00,True,1,,,
179,Interpol karney,1,3.0,1.0,USD,D,2024-06-24,12700.00,True,29,,,
195,OSRAM H355W,1,0.8,1.0,USD,D,2024-06-24,12780.00,True,114,,,
187,Anti doj,1,1.0,1.0,USD,D,2024-06-24,12700.00,True,15,,,
225,FENIKS 2K ODDIY,1,0.09,0.11,USD,D,2024-06-24,12700.00,True,644,,,
160,LED F10 880,1,4.2,5.0,USD,D,2024-06-24,12700.00,True,0,,,
180,Glushitel nasadka yonadigoni,1,11.8,12.0,USD,D,2024-06-24,12700.00,True,0,,,
207,F-8 TULPAN,1,7.5,1.0,USD,D,2024-06-24,12700.00,True,4,,,
173,Malibu len 1m,1,0.78,1.0,USD,D,2024-06-24,12700.00,True,27,,,
235,START STOP OQ,1,35.0,40.0,USD,D,2024-06-24,12700.00,True,9,,,
210,FOCAL TULPAN,1,9.0,10.0,USD,D,2024-06-24,12700.00,True,7,,,
98,bez so'kl popularniy oq,1,0.16,1.0,USD,D,2024-06-21,12700.00,True,32,,,
99,So'ska bez so'kl,1,0.102,1.0,USD,D,2024-06-21,12700.00,True,41,,,
232,ADAPTER 30A KICHIG,1,4.2,5.0,USD,D,2024-06-24,12700.00,True,6,,,
1116,a1,4,3.0,5.0,USD,D,2024-11-16,12800.00,True,83,,,
197,Magicar red line,1,10.5,11.0,USD,D,2024-06-24,12700.00,True,6,,,
202,Magicar BMW,1,8.3,9.0,USD,D,2024-06-24,12700.00,True,5,,,
178,OSV Uvlajnitel plastic qora,1,3.4,4.0,USD,D,2024-06-24,12700.00,True,41,,,
177,Pentium shisha H7,1,10.0,11.0,USD,D,2024-06-24,12700.00,True,2,,,
162,LED F10 H1,1,4.2,1.0,USD,D,2024-06-24,12700.00,True,25,,,
198,Magicar mers,1,8.3,8.5,USD,D,2024-06-24,12700.00,True,3,,,
185,IPOP seriy,1,0.61,1.0,USD,D,2024-06-24,12700.00,True,37,,,
208,Soniy q6 tulpan,1,5.0,7.0,USD,D,2024-06-24,12700.00,True,12,,,
211,PIONEER TULPAN BD-8,1,2.8,3.0,USD,D,2024-06-24,12700.00,True,30,,,
230,KING DONA,1,0.9,1.0,USD,D,2024-06-24,12700.00,False,264,,,
189,A+B  Kichigi,1,0.18,1.0,USD,D,2024-06-24,12700.00,True,5,,,
181,Rul chexol carbon BOSS,1,2.757,1.0,USD,D,2024-06-24,12700.00,True,1,,,
